word,translation(s)
"tulkita", "interpret; decode"
"sukka", "sock"
"sali", "hall; gym"
"pikkuinen", "tiny"
"nimenomaan", "expressly; specifically"
"napata", "catch; snatch; capture; nab"
"kumppani", "partner; associate; companion"
"kilpailija", "competitor; rival"
"hymy", "smile"
"arkkitehti", "architect"
"vääpeli", "warrant officer"
"väline", "instrument; tool; implement"
"varrella", "along"
"tehokas", "efficient; effective"
"tehdas", "factory"
"taaksepäin", "backward; backwards; astern; back"
"ruma", "ugly"
"rauhoittaa", "calm; reassure; sedate; ease"
"pukeutua", "dress; put on"
"pilata", "spoil; taint"
"myyjä", "seller; salesperson; vendor; salesman"
"lappu", "label; piece of paper; tag"
"kynnys", "threshold"
"kurssi", "course"
"klassinen", "classical; classic"
"johtaminen", "management"
"avautua", "unfold"
"yleisesti", "generally; commonly"
"varovasti", "carefully; cautiously; gingerly"
"tuomari", "judge"
"tarkasti", "accurately; precisely; close; exactly"
"taitava", "skillful; shrewd"
"palkinto", "reward; prize; award"
"oleellinen", "integral; essential"
"nimittäin", "namely"
"menestys", "hit; success"
"masennus", "depression"
"laitos", "institution; plant; facility; establishment"
"kuluttaja", "consumer"
"jälki", "trace; imprint; footprint"
"intohimo", "passion"
"hyödyntää", "exploit; utilize; make use of; capitalize; take advantage"
"hitaasti", "slowly; slow"
"haukkua", "bark"
"haju", "smell; odour; stink"
"ainoastaan", "only"
"ydin", "nucleus; null space; core"
"väsynyt", "tired"
"varsinainen", "actual"
"tällöin", "now"
"tappio", "defeat; loss"
"satama", "port; harbour; harbor"
"roska", "rubbish; trash; garbage"
"rooma", "Rome"
"poissa", "away"
"perustella", "justify"
"maija", "police car; paddy wagon; police van; wagon; Black Maria"
"kirjasto", "library"
"keltainen", "yellow"
"jännittävä", "exciting; thrilling; suspenseful"
"ilmestyä", "appear"
"ilmapiiri", "atmosphere"
"hyökätä", "attack; assault"
"hiiri", "mouse"
"hauta", "grave; tomb"
"arvoinen", "worthy"
"vihata", "hate"
"vaivata", "bother"
"tosissaan", "in earnest; for keeps; seriously"
"tervetuloa", "welcome"
"televisio", "television"
"sisältää", "contain; include"
"sallia", "allow; permit"
"pyörä", "wheel"
"penkki", "bench"
"mukainen", "accordant; agreeable; commensurate; pursuant; true"
"lauta", "board"
"lainkaan", "at all; in the least; any"
"kyllähän", "indeed; certainly; surely; admittedly; absolutely"
"kritiikki", "criticism"
"kestävä", "durable; lasting; sustainable"
"kerros", "floor"
"kelvata", "do"
"karata", "escape; flee"
"kapteeni", "captain"
"ilmainen", "free; gratis"
"huomioida", "observe; pay attention; give heed"
"huominen", "tomorrow"
"testi", "test"
"tarkastella", "look at; observe; survey; scrutinize; eye"
"sinänsä", "as such; per se"
"salainen", "secret"
"opetus", "teaching"
"lihas", "muscle"
"kyetä", "be able to"
"kelata", "rewind"
"enemmistö", "majority"
"elli", "lady; girl; wife; woman"
"asu", "attire; dress; wear; clothes"
"termi", "term"
"taulu", "board; painting"
"tahti", "bar; tempo; pace; time; measure"
"sohva", "sofa; couch"
"liitto", "union; alliance"
"lausunto", "statement"
"lahti", "bay; gulf"
"laajasti", "extensively; broadly"
"kummallinen", "peculiar; strange; queer"
"esillä", "out"
"tää", "that; it; this; this one; the"
"tuosta", "thence; hence; therefrom; hereof; away"
"tuossa", "there; over there"
"tuntematon", "unknown"
"säätiö", "foundation"
"sijoittaa", "place; put"
"reikä", "hole"
"päästö", "emission"
"poro", "reindeer"
"paksu", "thick"
"mahdollisesti", "possibly; potentially; by chance; conceivably"
"kiristää", "blackmail; tighten; extort"
"kehitysvammainen", "retarded; mentally disabled"
"kahvila", "cafe; coffee shop"
"kaataa", "pour"
"frendi", "friend; pal"
"yrittäjyys", "enterprise"
"ulkopuolelle", "outside; outside of; out; out of; abroad"
"uida", "swim"
"tonni", "ton; grand; metric ton"
"sattuma", "accident; chance"
"räjähtää", "explode; go off; detonate; burst; blow"
"riittävästi", "enough"
"porkkana", "carrot"
