word,translation(s)
"se", "it; that; she; he"
"minä", "me"
"ja", "and"
"ei", "not; no"
"että", "that"
"tämä", "this"
"mikä", "which; what"
"sinä", "you"
"kun", "when"
"niin", "so; yes"
"tulla", "come"
"joka", "every; which; that; who"
"mutta", "but"
"voida", "can; may; be able to"
"hän", "he; she"
"tehdä", "make; do"
"nyt", "now"
"saada", "get; receive"
"hyvä", "good"
"aika", "time"
"pitää", "hold"
"jos", "if"
"sitten", "then; ago"
"kaikki", "all; everybody; everyone; everything"
"mennä", "go"
"sanoa", "say; tell"
"tai", "or"
"ihminen", "human being; human; person; man"
"ihan", "quite"
"kuin", "than; as"
"paljon", "much; a lot; far; greatly"
"jokin", "something"
"vuosi", "year"
"vaan", "but"
"asia", "thing"
"miten", "how"
"kyllä", "yes"
"suomi", "Finnish"
"haluta", "want; desire"
"vähän", "little; few; a little"
"kanssa", "with"
"myös", "also; too; as well"
"muu", "other; else"
"ottaa", "take"
"mikään", "any; anything; anything else"
"vielä", "still"
"täällä", "here"
"tietää", "know"
"lähteä", "depart; leave"
"hyvin", "well"
"siellä", "there"
"tuo", "that"
"toinen", "second; other"
"itse", "self; by oneself; himself; itself; ourselves"
"yksi", "one"
"lapsi", "child"
"puhua", "speak; talk"
"oma", "own"
"työ", "work; job"
"aina", "always; ever"
"mieli", "mind"
"nähdä", "see"
"no", "well"
"käydä", "visit; go"
"jo", "already"
"joku", "someone; somebody; anyone"
"koska", "because; since"
"päästä", "get; get to; after"
"ehkä", "maybe; perhaps"
"tosi", "true; really"
"alkaa", "begin; start; break out"
"antaa", "give; let"
"sama", "same"
"näin", "thus; so"
"päivä", "day"
"vaikka", "though; although; albeit"
"eli", "that is; in other words"
"moni", "many"
"uusi", "new"
"koko", "whole; size; entire; total"
"kaksi", "two"
"elämä", "life"
"joo", "yeah"
"silloin", "then"
"ajatella", "think"
"iso", "big; great"
"kertoa", "tell"
"pieni", "small; little"
"vain", "only; just"
"katsoa", "look; watch; see; view; look at"
"paikka", "place"
"jäädä", "stay; remain; stick"
"suuri", "big; large"
"pystyä", "be able to"
"sellainen", "such"
"tapa", "habit; way; custom; manner"
"kiitos", "thank you; thanks"
"juuri", "root"
"siis", "therefore; thus; then"
"tärkeä", "important"
"tuntua", "seem; feel"
"miksi", "why"
"jälkeen", "after"
"laittaa", "set; put; lay"
"tarvita", "need"
"mies", "man; male; husband"
"näyttää", "show"
"enemmän", "more"
"varmaan", "probably; presumably"
"tilanne", "situation"
"maa", "country; land; earth"
"juttu", "story"
"tapahtua", "happen; occur"
"tänne", "here"
"käyttää", "use; employ"
"puoli", "side; half"
"maailma", "world"
"ennen", "before"
"hei", "hello; hey; hi"
"pois", "away; off"
"hetki", "moment; instant"
"ensimmäinen", "first"
"noin", "about; approximately"
"enää", "anymore; longer; any longer"
"sinne", "thither; there; to that place"
"vai", "or"
"osa", "part"
"mukaan", "according to; with; along; accordingly; according"
"äiti", "mother"
"kerta", "time"
"kysyä", "ask"
"täytyä", "need; must"
"miettiä", "think"
"kysymys", "question; issue; query"
"taas", "again"
"nainen", "woman"
"suomalainen", "finn"
"kuka", "who"
"vanha", "old"
"yrittää", "attempt; try; strive; chance"
"tuoda", "bring; import"
"hieno", "fancy; elegant; refined; fine"
"nuori", "young"
"tänään", "today"
"semmoinen", "such; that kind of"
"eri", "different; varying"
"muistaa", "remember"
"kolme", "three"
"ongelma", "problem; trouble"
"osata", "can; understand"
"sieltä", "thence"
"uskoa", "trust; believe"
"kuulla", "hear"
"kuinka", "how"
"oikein", "correctly; right; the right way; aright; very"
"kukaan", "anyone else; anybody; anyone; any"
"toimia", "work; function; operate"
"raha", "money"
"löytyä", "be found"
"kiva", "nice; good"
"kohta", "soon; point; item; spot"
"valmis", "ready"
"ymmärtää", "understand; comprehend; get"
"käsi", "hand"
"perhe", "family"
"vaikea", "difficult; hard; arduous"
"kai", "maybe; presumably; probably"
"viikko", "week"
"viedä", "take; move; export"
"kuulua", "belong"
"soittaa", "play; call"
"löytää", "find"
"auttaa", "help; assist; aid"
"pitkä", "long; tall"
"isä", "father"
"joskus", "sometimes; occasionally"
"todella", "really; indeed; truly"
"syntyä", "be born; arise"
"tällainen", "like this; this kind of; such"
"erilainen", "different"
"piste", "point; dot"
"oikeasti", "really; genuinely"
"yli", "over"
"kuitenkin", "however; though; nevertheless; anyway"
"kiinni", "closed; shut"
"ihana", "wonderful; marvellous; lovely"
"poika", "boy; son"
"nimi", "name"
"esimerkiksi", "for example; for instance"
"totta", "really; true; indeed; reality; for real"
"liittyä", "join"
"joutua", "get; fall; end up"
"kautta", "through"
"kannattaa", "support; second"
"pää", "head; end"
"seuraava", "next; following"
"elää", "live"
"heti", "at once; immediately; right away; directly; forthwith"
"syödä", "eat; consume"
"kuva", "image; picture"
"kova", "hard"
"vaikuttaa", "affect; influence"
"ensin", "first; firstly"
"matka", "travel; trip; journey; voyage"
"koti", "home"
"teksti", "text"
"odottaa", "wait; await"
"tarkoittaa", "mean; signify"
"mukana", "along; aboard; in on"
"oikea", "right; proper; correct"
"paha", "bad; evil"
"tuntea", "feel; know"
"keskustelu", "conversation; discussion"
"koulu", "school"
"välillä", "occasionally; between; now and then"
"takia", "owing to; for; because of"
"hakea", "seek"
"ilta", "evening; night"
"tunti", "hour"
"millainen", "what; what sort of; what kind of"
"lukea", "read"
"aivan", "altogether; quite; right; totally"
"maksaa", "pay; cost"
"usein", "often; commonly; oftentimes"
"huomata", "notice; detect"
"syy", "cause; reason"
"näkyä", "show; be visible; seen"
"vastaan", "against; con; back"
"auto", "car; automobile"
"kuten", "like; as; as well as; such as"
"päättää", "decide; determine; terminate"
"jokainen", "everyone; everybody; every; each"
"hoitaa", "care; nurse; handle; conduct"
"kaveri", "friend; buddy"
"homma", "job"
"apu", "help; aid"
"varmasti", "certainly; for sure; definitely; you bet; assuredly"
"tieto", "knowledge; data; information"
"kokea", "experience"
"tehtävä", "task"
"pari", "couple; pair"
"kaupunki", "town; city"
"asua", "live; dwell"
"muuttaa", "change; move; convert"
"nousta", "rise"
"vastata", "answer; reply; respond"
"hallitus", "government"
"hauska", "funny; merry"
"koskaan", "never; ever"
"jatkaa", "continue; go on; prolong"
"edes", "even; at least"
"tyttö", "girl"
"pallo", "ball"
"saattaa", "may; accompany; escort"
"kerran", "once"
"helppo", "easy"
"loppu", "end"
"liian", "too"
"koira", "dog"
"muuten", "by the way; otherwise"
"huono", "bad"
"vetää", "pull; draw; drag"
"ilman", "without"
"okei", "okay"
"ajatus", "thought"
"neljä", "four"
"tykätä", "like"
"viisi", "five"
"muuttua", "change"
